step,reward_1,reward_2,reward_3
0,-1.0,-1.0,0.05000000074505806
1,-1.0,0.10000000149011612,-1.0
2,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0
4,0.03750000149011612,-1.0,0.05000000074505806
5,-1.0,-1.0,-1.0
6,0.13333334028720856,-1.0,-1.0
7,0.008333333767950535,-1.0,-1.0
8,0.02500000037252903,0.20000000298023224,-1.0
9,0.01666666753590107,0.1666666716337204,0.0833333358168602
10,-1.0,0.25,0.125
11,-1.0,-1.0,0.10000000149011612
12,0.008333333767950535,-1.0,-1.0
13,-1.0,-1.0,-1.0
14,-1.0,0.07500000298023224,-1.0
15,-1.0,0.13333334028720856,-1.0
16,-1.0,-1.0,-1.0
17,-1.0,0.05000000074505806,-1.0
18,-1.0,-1.0,-1.0
19,-1.0,-1.0,-1.0
20,-1.0,0.05000000074505806,-1.0
21,-1.0,-1.0,-1.0
22,-1.0,-1.0,-1.0
23,-1.0,-1.0,-1.0
24,-1.0,0.07500000298023224,-1.0
25,0.07500000298023224,-1.0,-1.0
26,0.02500000037252903,0.02500000037252903,-1.0
27,-1.0,-1.0,-1.0
28,-1.0,-1.0,-1.0
29,0.07500000298023224,-1.0,0.25
30,0.25,0.02500000037252903,-1.0
31,-1.0,-1.0,-1.0
32,-1.0,-1.0,-1.0
33,-1.0,-1.0,-1.0
34,-1.0,-1.0,-1.0
35,-1.0,-1.0,-1.0
36,-1.0,-1.0,0.5
37,-1.0,-1.0,-1.0
38,-1.0,-1.0,-1.0
39,-1.0,-1.0,-1.0
40,-1.0,-1.0,-1.0
41,-1.0,-1.0,-1.0
42,0.02500000037252903,0.5,-1.0
43,-1.0,-1.0,-1.0
44,-1.0,-1.0,0.01666666753590107
45,0.06666667014360428,0.06666667014360428,-1.0
46,-1.0,-1.0,-1.0
47,0.25,-1.0,0.05000000074505806
48,-1.0,-1.0,-1.0
49,-1.0,0.20000000298023224,-1.0
50,0.25,-1.0,-1.0
51,-1.0,-1.0,-1.0
52,-1.0,-1.0,-1.0
53,-1.0,-1.0,-1.0
54,-1.0,-1.0,-1.0
55,-1.0,-1.0,-1.0
56,-1.0,-1.0,0.008333333767950535
57,-1.0,-1.0,-1.0
58,-1.0,-1.0,0.25
59,-1.0,-1.0,0.008333333767950535
60,-1.0,-1.0,-1.0
61,-1.0,-1.0,-1.0
62,-1.0,-1.0,-1.0
63,-1.0,-1.0,-1.0
64,-1.0,-1.0,0.05000000074505806
65,0.10000000149011612,-1.0,-1.0
66,-1.0,-1.0,-1.0
67,-1.0,-1.0,-1.0
68,-1.0,-1.0,-1.0
69,-1.0,0.05000000074505806,-1.0
70,-1.0,-1.0,-1.0
71,0.02500000037252903,-1.0,-1.0
72,0.05000000074505806,-1.0,-1.0
73,-1.0,-1.0,-1.0
74,-1.0,0.07500000298023224,-1.0
75,-1.0,-1.0,-1.0
76,0.03333333507180214,-1.0,-1.0
77,0.3333333432674408,0.25,-1.0
78,-1.0,-1.0,-1.0
79,-1.0,-1.0,-1.0
80,-1.0,-1.0,-1.0
81,-1.0,-1.0,0.02500000037252903
82,-1.0,-1.0,-1.0
83,-1.0,-1.0,-1.0
84,-1.0,-1.0,0.10000000149011612
85,-1.0,-1.0,0.5
86,0.03750000149011612,-1.0,0.25
87,0.07500000298023224,-1.0,-1.0
88,-1.0,0.5,-1.0
89,-1.0,0.01666666753590107,-1.0
90,-1.0,-1.0,-1.0
91,-1.0,-1.0,0.05000000074505806
92,0.125,-1.0,0.012500000186264515
93,-1.0,-1.0,-1.0
94,-1.0,-1.0,-1.0
95,-1.0,-1.0,-1.0
96,0.008333333767950535,-1.0,-1.0
97,-1.0,-1.0,-1.0
98,-1.0,-1.0,-1.0
99,-1.0,-1.0,-1.0
100,-1.0,-1.0,0.10000000149011612
101,0.10000000149011612,-1.0,-1.0
102,0.25,-1.0,-1.0
103,-1.0,-1.0,0.5
104,0.07500000298023224,-1.0,-1.0
105,-1.0,0.02500000037252903,-1.0
106,-1.0,-1.0,-1.0
107,-1.0,-1.0,0.20000000298023224
108,-1.0,0.03333333507180214,-1.0
109,0.10000000149011612,0.03333333507180214,-1.0
110,-1.0,-1.0,-1.0
111,0.5,-1.0,-1.0
112,-1.0,-1.0,0.008333333767950535
113,-1.0,-1.0,-1.0
114,-1.0,0.004166666883975267,0.03750000149011612
115,-1.0,-1.0,-1.0
116,-1.0,-1.0,-1.0
117,-1.0,0.03333333507180214,-1.0
118,-1.0,-1.0,0.13333334028720856
119,-1.0,-1.0,-1.0
120,-1.0,-1.0,0.25
121,-1.0,-1.0,-1.0
122,-1.0,0.07500000298023224,-1.0
123,-1.0,-1.0,-1.0
124,-1.0,-1.0,-1.0
125,-1.0,0.05000000074505806,-1.0
126,-1.0,-1.0,-1.0
127,-1.0,-1.0,0.02500000037252903
128,-1.0,-1.0,-1.0
129,0.3333333432674408,-1.0,0.05000000074505806
130,-1.0,0.05000000074505806,-1.0
131,-1.0,0.25,-1.0
132,0.07500000298023224,-1.0,-1.0
133,0.05000000074505806,-1.0,-1.0
134,-1.0,-1.0,-1.0
135,-1.0,-1.0,0.10000000149011612
136,0.02500000037252903,-1.0,0.10000000149011612
137,-1.0,0.02500000037252903,-1.0
138,-1.0,0.5,-1.0
139,-1.0,0.05000000074505806,-1.0
140,-1.0,-1.0,-1.0
141,0.10000000149011612,0.03333333507180214,-1.0
142,-1.0,-1.0,-1.0
143,0.03333333507180214,-1.0,-1.0
144,-1.0,-1.0,-1.0
145,0.02500000037252903,1.0,-1.0
146,0.02500000037252903,0.01666666753590107,-1.0
147,-1.0,-1.0,-1.0
148,-1.0,-1.0,-1.0
149,0.05000000074505806,0.5,-1.0
150,-1.0,-1.0,-1.0
151,-1.0,0.13333334028720856,-1.0
152,-1.0,-1.0,-1.0
153,-1.0,-1.0,0.07500000298023224
154,-1.0,-1.0,0.05000000074505806
155,-1.0,-1.0,-1.0
156,-1.0,-1.0,0.25
157,-1.0,-1.0,-1.0
158,0.05000000074505806,-1.0,-1.0
159,-1.0,-1.0,0.07500000298023224
160,0.07500000298023224,-1.0,-1.0
161,0.02500000037252903,0.02500000037252903,0.07500000298023224
162,0.05000000074505806,-1.0,-1.0
163,0.3333333432674408,-1.0,-1.0
164,-1.0,0.20000000298023224,-1.0
165,0.012500000186264515,-1.0,0.03750000149011612
166,-1.0,-1.0,-1.0
167,-1.0,0.07500000298023224,-1.0
168,-1.0,-1.0,0.10000000149011612
169,-1.0,-1.0,-1.0
170,-1.0,-1.0,-1.0
171,0.03750000149011612,0.012500000186264515,-1.0
172,-1.0,-1.0,0.03333333507180214
173,-1.0,0.5,-1.0
174,-1.0,-1.0,0.07500000298023224
175,-1.0,-1.0,-1.0
176,0.02500000037252903,-1.0,-1.0
177,-1.0,0.02500000037252903,-1.0
178,-1.0,-1.0,-1.0
179,-1.0,-1.0,-1.0
180,-1.0,0.5,-1.0
181,0.012500000186264515,-1.0,0.125
182,-1.0,-1.0,-1.0
183,-1.0,-1.0,-1.0
184,-1.0,0.07500000298023224,-1.0
185,-1.0,0.01666666753590107,-1.0
186,-1.0,0.03750000149011612,0.1666666716337204
187,0.02500000037252903,-1.0,0.25
188,-1.0,-1.0,-1.0
189,-1.0,-1.0,-1.0
190,-1.0,0.07500000298023224,-1.0
191,-1.0,-1.0,-1.0
192,-1.0,-1.0,-1.0
193,-1.0,0.008333333767950535,0.05000000074505806
194,-1.0,-1.0,0.4000000059604645
195,-1.0,-1.0,-1.0
196,-1.0,-1.0,-1.0
197,0.03333333507180214,-1.0,0.5
198,-1.0,-1.0,-1.0
199,-1.0,-1.0,0.05000000074505806
200,-1.0,0.5,0.05000000074505806
201,-1.0,0.03333333507180214,-1.0
202,-1.0,0.012500000186264515,0.02500000037252903
203,-1.0,-1.0,-1.0
204,-1.0,-1.0,-1.0
205,-1.0,-1.0,-1.0
206,0.05000000074505806,-1.0,-1.0
207,-1.0,-1.0,0.05000000074505806
208,-1.0,-1.0,-1.0
209,-1.0,-1.0,-1.0
210,-1.0,0.01666666753590107,0.008333333767950535
211,-1.0,-1.0,-1.0
212,-1.0,-1.0,-1.0
213,-1.0,-1.0,-1.0
214,-1.0,-1.0,-1.0
215,-1.0,0.10000000149011612,-1.0
216,-1.0,-1.0,0.03333333507180214
217,-1.0,-1.0,-1.0
218,-1.0,-1.0,0.05000000074505806
219,-1.0,-1.0,-1.0
220,0.05000000074505806,-1.0,-1.0
221,-1.0,-1.0,-1.0
222,0.02500000037252903,0.05000000074505806,0.20000000298023224
223,-1.0,0.03333333507180214,-1.0
224,-1.0,-1.0,-1.0
225,0.05000000074505806,-1.0,-1.0
226,-1.0,-1.0,-1.0
227,-1.0,-1.0,-1.0
228,-1.0,-1.0,-1.0
229,-1.0,-1.0,-1.0
230,-1.0,-1.0,-1.0
231,-1.0,0.05000000074505806,-1.0
232,0.4000000059604645,-1.0,-1.0
233,-1.0,0.01666666753590107,0.02500000037252903
234,-1.0,-1.0,-1.0
235,-1.0,-1.0,-1.0
236,-1.0,-1.0,0.008333333767950535
237,-1.0,-1.0,-1.0
238,-1.0,-1.0,0.05000000074505806
239,-1.0,-1.0,-1.0
240,-1.0,-1.0,0.10000000149011612
241,-1.0,-1.0,-1.0
242,0.07500000298023224,-1.0,-1.0
243,-1.0,-1.0,-1.0
244,-1.0,-1.0,-1.0
245,-1.0,-1.0,-1.0
246,-1.0,-1.0,-1.0
247,-1.0,-1.0,-1.0
248,-1.0,-1.0,-1.0
249,-1.0,-1.0,0.02500000037252903
250,-1.0,-1.0,0.07500000298023224
251,-1.0,-1.0,-1.0
252,-1.0,-1.0,-1.0
253,0.008333333767950535,-1.0,-1.0
254,-1.0,0.05000000074505806,-1.0
255,-1.0,-1.0,0.10000000149011612
256,0.02500000037252903,-1.0,-1.0
257,-1.0,-1.0,-1.0
258,-1.0,-1.0,0.05000000074505806
259,-1.0,-1.0,-1.0
260,-1.0,0.5,-1.0
261,-1.0,-1.0,-1.0
262,-1.0,-1.0,-1.0
263,-1.0,-1.0,-1.0
264,-1.0,-1.0,-1.0
265,-1.0,-1.0,-1.0
266,-1.0,0.13333334028720856,0.05000000074505806
267,-1.0,-1.0,0.02500000037252903
268,-1.0,-1.0,-1.0
269,0.07500000298023224,-1.0,0.25
270,-1.0,-1.0,-1.0
271,-1.0,0.13333334028720856,-1.0
272,-1.0,-1.0,0.05000000074505806
273,-1.0,-1.0,-1.0
274,-1.0,-1.0,-1.0
275,-1.0,-1.0,-1.0
276,-1.0,-1.0,-1.0
277,-1.0,-1.0,-1.0
278,-1.0,-1.0,-1.0
279,-1.0,-1.0,-1.0
280,-1.0,-1.0,-1.0
281,-1.0,-1.0,-1.0
282,-1.0,0.03333333507180214,-1.0
283,-1.0,-1.0,-1.0
284,-1.0,-1.0,0.5
285,-1.0,-1.0,-1.0
286,-1.0,0.20000000298023224,-1.0
287,0.5,-1.0,-1.0
288,0.02500000037252903,-1.0,-1.0
289,0.05000000074505806,-1.0,-1.0
290,-1.0,-1.0,-1.0
291,-1.0,-1.0,-1.0
292,0.05000000074505806,0.01666666753590107,-1.0
293,0.07500000298023224,-1.0,-1.0
294,-1.0,0.13333334028720856,-1.0
295,0.05000000074505806,0.5,-1.0
296,0.01666666753590107,0.1666666716337204,0.01666666753590107
297,-1.0,-1.0,-1.0
298,-1.0,-1.0,-1.0
299,-1.0,-1.0,0.07500000298023224
300,-1.0,0.10000000149011612,-1.0
301,-1.0,0.10000000149011612,-1.0
302,-1.0,0.13333334028720856,-1.0
303,-1.0,-1.0,-1.0
304,-1.0,-1.0,-1.0
305,-1.0,-1.0,-1.0
306,-1.0,-1.0,-1.0
307,-1.0,-1.0,-1.0
308,-1.0,-1.0,-1.0
309,-1.0,-1.0,0.25
310,-1.0,-1.0,-1.0
311,-1.0,-1.0,0.5
312,-1.0,-1.0,-1.0
313,-1.0,-1.0,-1.0
314,-1.0,-1.0,-1.0
315,-1.0,-1.0,0.05000000074505806
316,-1.0,-1.0,-1.0
317,-1.0,-1.0,-1.0
318,-1.0,-1.0,-1.0
319,-1.0,-1.0,-1.0
320,-1.0,-1.0,-1.0
321,-1.0,-1.0,-1.0
322,-1.0,-1.0,0.03333333507180214
323,-1.0,-1.0,0.05000000074505806
324,-1.0,-1.0,-1.0
325,-1.0,-1.0,-1.0
326,-1.0,-1.0,-1.0
327,-1.0,-1.0,-1.0
328,-1.0,0.02500000037252903,-1.0
329,-1.0,-1.0,-1.0
330,-1.0,-1.0,0.07500000298023224
331,-1.0,-1.0,-1.0
332,-1.0,-1.0,-1.0
333,-1.0,0.13333334028720856,-1.0
334,-1.0,-1.0,0.10000000149011612
335,-1.0,-1.0,-1.0
336,-1.0,0.07500000298023224,-1.0
337,0.05000000074505806,-1.0,-1.0
338,-1.0,-1.0,-1.0
339,-1.0,0.03750000149011612,0.02500000037252903
340,-1.0,-1.0,-1.0
341,0.03750000149011612,0.05000000074505806,-1.0
342,-1.0,-1.0,0.07500000298023224
343,-1.0,-1.0,-1.0
344,-1.0,-1.0,0.10000000149011612
345,-1.0,-1.0,-1.0
346,-1.0,0.07500000298023224,-1.0
347,-1.0,0.3333333432674408,-1.0
348,0.05000000074505806,-1.0,-1.0
349,-1.0,-1.0,0.13333334028720856
350,-1.0,-1.0,-1.0
351,-1.0,-1.0,-1.0
352,-1.0,-1.0,-1.0
353,-1.0,-1.0,-1.0
354,0.02500000037252903,-1.0,-1.0
355,-1.0,-1.0,-1.0
356,0.07500000298023224,-1.0,-1.0
357,0.05000000074505806,-1.0,-1.0
358,-1.0,-1.0,-1.0
359,-1.0,-1.0,-1.0
360,-1.0,-1.0,-1.0
361,-1.0,-1.0,-1.0
362,-1.0,0.5,-1.0
363,-1.0,-1.0,0.05000000074505806
364,-1.0,-1.0,-1.0
